! -----------------------------------------------------
! Lake Erie 2002-14
! Inflow (Detroit River)
! File prepared by LL
! -----------------------------------------------------
20  data sets																						   
0 seconds between data																						   
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	   
DAY	SALINITY	SSOL1	SSOL2	DO	PO4	DOPL	POPL	PIP	NH4	NO3	DONL	PONL	DOCL	POCL	SiO2	FDIAT	MDIAT	CRYPT	CHLOR	CYANO	   
2014046.000	0.018	13.0	0	11.55	0.00691	0.00050	0.00801	0.00751	0.05824	0.31110	0.08291	0.03553	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014074.000	0.018	10.3	0	11.72	0.00679	0.00049	0.00928	0.00879	0.07095	0.31592	0.08794	0.03769	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014105.000	0.018	7.6	0	11.88	0.00667	0.00048	0.01055	0.01006	0.08365	0.32073	0.09296	0.03984	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014135.000	0.018	7.1	0	12.05	0.00578	0.00042	0.00934	0.00893	0.07312	0.50000	0.11280	0.04834	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014166.000	0.017	5.7	0	12.23	0.00516	0.00037	0.00502	0.00465	0.06467	0.40399	0.09560	0.04097	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014196.000	0.016	4.2	0	12.41	0.00488	0.00035	0.00314	0.00279	0.05884	0.30718	0.07928	0.03398	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014227.000	0.015	3.3	0	10.32	0.00493	0.00035	0.00364	0.00328	0.05525	0.29020	0.07460	0.03197	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014258.000	0.014	3.8	0	9.16	0.00536	0.00039	0.00416	0.00378	0.05412	0.33380	0.07913	0.03391	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014288.000	0.014	6.3	0	8.65	0.00617	0.00044	0.00304	0.00259	0.05538	0.38588	0.08624	0.03696	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014319.000	0.013	11.7	0	8.60	0.00742	0.00053	0.00226	0.00172	0.05911	0.45861	0.09875	0.04232	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014349.000	0.013	10.9	0	9.04	0.00727	0.00052	0.00391	0.00339	0.06402	0.43104	0.09759	0.04182	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
