Variable Name,Min Date,Max Date,Number of Samples
ACIDITY,24/04/2013 00:00:00,07/08/2013 00:00:00,3.000
AMMONIA_NITROGEN_SOLUBLE,24/04/2013 00:00:00,24/04/2013 00:00:00,1.000
CARBON_PARTICULATE_ORGANIC,07/08/2013 00:00:00,07/08/2013 00:00:00,1.000
CARBON_PARTICULATE_ORGANIC_INTEGRATED,24/04/2013 00:00:00,07/08/2013 00:00:00,3.000
CHLORIDE,24/04/2013 00:00:00,07/08/2013 00:00:00,5.000
CHLOROPHYLL_A_CORRECTED_INTEGRATED,24/04/2013 00:00:00,24/04/2013 00:00:00,1.000
CHLOROPHYLL_A_UNCORRECTED_INTEGRATED,24/04/2013 00:00:00,24/04/2013 00:00:00,1.000
NITRATE_NITRITE_NITROGEN_FILTERED,24/04/2013 00:00:00,24/04/2013 00:00:00,1.000
NITROGEN_TOTAL_PARTICULATE,07/08/2013 00:00:00,07/08/2013 00:00:00,1.000
NITROGEN_TOTAL_PARTICULATE_INTEGRATED,24/04/2013 00:00:00,07/08/2013 00:00:00,3.000
OXYGEN_CONCENTRATION_DISSOLVED,24/04/2013 00:00:00,07/08/2013 00:00:00,3.000
PHOSPHORUS_SOLUBLE_REACTIVE_FILTERED,24/04/2013 00:00:00,24/04/2013 00:00:00,1.000
SECCHI_DISC_DEPTH,07/08/2013 00:00:00,07/08/2013 00:00:00,1.000
SILICA,24/04/2013 00:00:00,07/08/2013 00:00:00,5.000
SOLUBLE_REACTIVE_PHOSPHORUS,07/08/2013 00:00:00,07/08/2013 00:00:00,4.000
SPECIFIC_CONDUCTANCE_25_DEG_C,24/04/2013 00:00:00,07/08/2013 00:00:00,3.000
TEMPERATURE_EBT,24/04/2013 00:00:00,07/08/2013 00:00:00,3.000
TOTAL_KJELDAHL_NITROGEN_FILTERED,24/04/2013 00:00:00,07/08/2013 00:00:00,5.000
TOTAL_PHOSPHORUS,24/04/2013 00:00:00,07/08/2013 00:00:00,5.000
TOTAL_PHOSPHORUS_FILTERED,24/04/2013 00:00:00,07/08/2013 00:00:00,5.000
