Variable Name,Min Date,Max Date,Number of Samples
ACIDITY,22/02/2013 00:00:00,31/07/2013 00:00:00,12.000
AMMONIA_NITROGEN_SOLUBLE,22/02/2013 00:00:00,23/04/2013 00:00:00,7.000
CARBON_DISSOLVED_ORGANIC,22/02/2013 00:00:00,31/07/2013 00:00:00,9.000
CARBON_PARTICULATE_ORGANIC,22/02/2013 00:00:00,31/07/2013 00:00:00,6.000
CARBON_PARTICULATE_ORGANIC_INTEGRATED,23/04/2013 00:00:00,31/07/2013 00:00:00,3.000
CHLORIDE,22/02/2013 00:00:00,31/07/2013 00:00:00,13.000
CHLOROPHYLL_A_CORRECTED_INTEGRATED,23/04/2013 00:00:00,31/07/2013 00:00:00,3.000
CHLOROPHYLL_A_CORRECTED_PHAEOPHYTIN,22/02/2013 00:00:00,31/07/2013 00:00:00,9.000
CHLOROPHYLL_A_UNCORRECTED,22/02/2013 00:00:00,31/07/2013 00:00:00,9.000
CHLOROPHYLL_A_UNCORRECTED_INTEGRATED,23/04/2013 00:00:00,31/07/2013 00:00:00,3.000
DISSOLVED_INORGANIC_CARBON,22/02/2013 00:00:00,31/07/2013 00:00:00,9.000
NITRATE_NITRITE_NITROGEN_FILTERED,22/02/2013 00:00:00,23/04/2013 00:00:00,7.000
NITRITE_FILTERED,22/02/2013 00:00:00,22/02/2013 00:00:00,4.000
NITROGEN_TOTAL_PARTICULATE,22/02/2013 00:00:00,31/07/2013 00:00:00,6.000
NITROGEN_TOTAL_PARTICULATE_INTEGRATED,23/04/2013 00:00:00,31/07/2013 00:00:00,3.000
OXYGEN_CONCENTRATION_DISSOLVED,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
PHOSPHORUS_SOLUBLE_REACTIVE_FILTERED,23/04/2013 00:00:00,23/04/2013 00:00:00,3.000
PHOSPHORUS_TOTAL,22/02/2013 00:00:00,22/02/2013 00:00:00,4.000
PHOSPHORUS_TOTAL_FILTERED,22/02/2013 00:00:00,22/02/2013 00:00:00,4.000
PHOSPHORUS_TOTAL_PARTICULATE,22/02/2013 00:00:00,22/02/2013 00:00:00,4.000
RESIDUE_NON_FILTERED,31/07/2013 00:00:00,31/07/2013 00:00:00,4.000
SECCHI_DISC_DEPTH,22/02/2013 00:00:00,22/02/2013 00:00:00,1.000
SILICA,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
SILICA_SOLUBLE_REACTIVE,22/02/2013 00:00:00,22/02/2013 00:00:00,4.000
SOLUBLE_REACTIVE_PHOSPHORUS,22/02/2013 00:00:00,31/07/2013 00:00:00,10.000
SPECIFIC_CONDUCTANCE_25_DEG_C,22/02/2013 00:00:00,31/07/2013 00:00:00,12.000
TEMPERATURE_EBT,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
TOTAL_KJELDAHL_NITROGEN_FILTERED,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
TOTAL_NITROGEN_DISSOLVED,22/02/2013 00:00:00,22/02/2013 00:00:00,4.000
TOTAL_PHOSPHORUS,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
TOTAL_PHOSPHORUS_FILTERED,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
TURBIDITY,23/04/2013 00:00:00,31/07/2013 00:00:00,5.000
WQ_NIT_AMM,22/02/2013 00:00:00,23/04/2013 00:00:00,7.000
WQ_OGM_DOC,22/02/2013 00:00:00,31/07/2013 00:00:00,9.000
WQ_OGM_POC,22/02/2013 00:00:00,31/07/2013 00:00:00,6.000
WQ_OGM_DIC,22/02/2013 00:00:00,31/07/2013 00:00:00,9.000
WQ_NIT_NIT,22/02/2013 00:00:00,23/04/2013 00:00:00,7.000
WQ_NIT_NITRITE,22/02/2013 00:00:00,22/02/2013 00:00:00,4.000
WQ_OGM_PON,22/02/2013 00:00:00,31/07/2013 00:00:00,6.000
WQ_OXY_OXY,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
WQ_PHS_FRP,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
WQ_DIAG_TOT_TP,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
WQ_OGM_POP,22/02/2013 00:00:00,22/02/2013 00:00:00,4.000
WQ_SIL_RSI,22/02/2013 00:00:00,22/02/2013 00:00:00,4.000
COND,22/02/2013 00:00:00,31/07/2013 00:00:00,12.000
TEMP,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
WQ_DIAG_TOT_TKN,23/04/2013 00:00:00,31/07/2013 00:00:00,9.000
WQ_DIAG_TOT_TURBIDITY,23/04/2013 00:00:00,31/07/2013 00:00:00,5.000
